Station,Date,Time,DO,BOD,pH,Nitrate,Ammonia,Turbidity,FecalColiform,Temperature,Conductivity,FlowRate,Phosphate
Kanpur,2017-01-06,00:00:00,7.48,3.55,8.04,5.31,0.57,2.93,2.0,25.0,243.48,3.49,0.67
Allahabad,2017-01-06,00:00:00,8.33,2.84,7.19,4.74,0.63,1.24,325.25,25.0,238.16,5.03,1.31
Varanasi,2017-01-06,00:00:00,8.73,2.92,7.13,4.46,0.52,4.5,244.96,25.0,287.87,4.47,0.75
Patna,2017-01-06,00:00:00,9.49,3.57,7.18,4.25,0.37,3.18,370.35,25.0,249.39,4.58,0.76
Kolkata,2017-01-06,00:00:00,8.79,3.41,7.32,4.7,0.53,1.39,2.0,25.0,277.59,4.04,0.97
Gangotri,2017-01-07,00:00:00,8.9,3.36,7.36,4.79,0.51,5.52,323.74,25.0,258.81,3.88,1.13
Rishikesh,2017-01-07,00:00:00,8.51,3.59,7.75,5.17,0.52,1.34,450.49,25.0,282.85,4.35,1.07
Haridwar,2017-01-07,00:00:00,8.15,3.51,7.3,3.95,0.49,4.38,517.43,25.0,250.56,4.46,1.29
Kanpur,2017-01-07,00:00:00,9.09,3.35,7.92,5.15,0.41,3.75,40.24,25.0,274.85,4.05,1.22
Allahabad,2017-01-07,00:00:00,9.32,3.7,7.6,5.25,0.36,5.23,323.97,25.0,269.72,3.77,1.57
Varanasi,2017-01-07,00:00:00,9.11,3.47,7.13,5.15,0.62,3.11,798.27,25.0,209.73,4.35,0.7
Patna,2017-01-07,00:00:00,8.51,3.02,7.44,4.93,0.54,3.25,287.67,25.0,224.23,4.08,1.0
Kolkata,2017-01-07,00:00:00,8.4,3.55,8.5,5.81,0.6,2.1,317.05,25.0,288.91,3.52,0.09
Gangotri,2017-01-08,00:00:00,8.7,3.74,7.0,5.27,0.62,1.92,276.72,25.0,256.34,4.01,1.48
Rishikesh,2017-01-08,00:00:00,8.28,3.15,7.62,4.57,0.49,3.49,390.42,25.0,254.62,4.66,0.82
Haridwar,2017-01-08,00:00:00,8.18,3.93,7.06,4.79,0.6,1.13,226.26,25.0,258.7,4.13,1.1
Kanpur,2017-01-08,00:00:00,8.27,3.59,7.02,5.06,0.32,4.59,2.0,25.0,260.68,3.41,0.84
Allahabad,2017-01-08,00:00:00,7.9,3.17,7.77,4.91,0.28,5.04,2.0,25.0,241.81,4.62,0.92
Varanasi,2017-01-08,00:00:00,8.61,3.56,6.84,5.83,0.34,2.38,214.28,25.0,224.79,3.52,1.06
Patna,2017-01-08,00:00:00,7.69,3.77,7.46,5.06,0.33,2.5,2.0,25.0,269.56,4.23,1.0
Kolkata,2017-01-08,00:00:00,7.03,3.71,7.0,4.96,0.39,1.47,2.0,25.0,239.53,3.91,0.62
Gangotri,2017-01-09,00:00:00,8.78,3.3,7.3,4.77,0.57,1.7,2.0,25.0,250.85,7.35,0.64
Rishikesh,2017-01-09,00:00:00,8.45,3.74,7.34,5.92,0.49,2.64,114.32,25.0,276.04,4.53,1.16
Haridwar,2017-01-09,00:00:00,8.42,3.31,7.57,4.06,0.41,4.32,182.8,25.0,279.42,3.82,1.05
Kanpur,2017-01-09,00:00:00,8.83,3.21,7.14,4.99,0.46,6.02,211.67,25.0,241.36,2.77,0.85
Allahabad,2017-01-09,00:00:00,8.33,3.23,7.27,5.35,0.46,4.87,182.78,25.0,228.5,3.16,0.73
Varanasi,2017-01-09,00:00:00,8.43,3.38,7.39,4.49,0.47,3.72,32.63,25.0,254.39,4.13,1.01
Patna,2017-01-09,00:00:00,7.75,3.41,7.49,5.12,0.59,1.99,134.81,25.0,280.78,3.67,0.83
Kolkata,2017-01-09,00:00:00,7.91,3.75,7.26,5.57,0.47,1.86,2.0,25.0,275.09,3.32,0.94
Gangotri,2017-01-10,00:00:00,9.35,3.85,7.7,5.0,0.48,4.38,51.91,25.0,267.15,4.32,1.17
Rishikesh,2017-01-10,00:00:00,8.48,3.17,7.53,5.1,0.6,4.46,467.23,25.0,241.42,3.95,0.82
Haridwar,2017-01-10,00:00:00,9.26,3.88,6.75,5.1,0.56,5.67,110.63,25.0,257.7,3.43,0.89
Kanpur,2017-01-10,00:00:00,7.63,3.41,7.86,5.24,0.56,1.69,2.0,25.0,235.93,4.2,1.23
Allahabad,2017-01-10,00:00:00,8.6,3.74,7.75,4.62,0.27,2.33,674.98,25.0,242.54,4.26,1.19
Varanasi,2017-01-10,00:00:00,8.44,3.95,7.54,5.25,0.41,2.13,243.8,25.0,254.14,3.32,0.79
Patna,2017-01-10,00:00:00,8.16,3.55,7.27,4.34,0.41,1.29,2.0,25.0,248.87,3.76,0.94
Kolkata,2017-01-10,00:00:00,8.64,3.61,7.25,5.26,0.73,3.95,147.55,25.0,251.92,3.7,1.16
Gangotri,2017-01-11,00:00:00,8.64,3.63,8.15,5.27,0.37,2.35,510.36,25.0,272.02,4.07,1.14
Rishikesh,2017-01-11,00:00:00,8.12,3.83,7.64,5.25,0.37,3.32,2.0,25.0,287.21,3.78,1.01
Haridwar,2017-01-11,00:00:00,8.63,3.54,7.32,4.82,0.4,4.07,381.06,25.0,287.26,4.36,0.96
Kanpur,2017-01-11,00:00:00,7.88,3.52,7.02,5.37,0.56,2.05,2.0,25.0,274.99,4.46,1.04
Allahabad,2017-01-11,00:00:00,9.22,4.11,7.33,5.65,0.64,3.32,174.95,25.0,255.85,4.73,0.62
Varanasi,2017-01-11,00:00:00,8.16,3.66,7.72,4.81,0.54,3.98,19.76,25.0,240.73,4.5,0.78
Patna,2017-01-11,00:00:00,8.98,3.08,7.8,5.06,0.43,4.05,2.0,25.0,262.45,3.69,1.0
Kolkata,2017-01-11,00:00:00,8.75,3.65,7.04,5.38,0.58,3.25,167.03,25.0,274.81,4.73,1.23
Gangotri,2017-01-12,00:00:00,8.34,3.14,6.97,4.72,0.49,2.9,542.5,25.0,237.52,4.32,0.97
Rishikesh,2017-01-12,00:00:00,8.8,3.3,6.86,5.35,0.42,2.61,484.78,25.0,230.9,4.13,1.1
Haridwar,2017-01-12,00:00:00,7.47,3.39,6.95,5.14,0.73,1.47,369.58,25.0,293.71,3.44,1.15
Kanpur,2017-01-12,00:00:00,8.88,2.99,7.41,5.57,0.4,2.21,362.29,25.0,220.15,4.62,1.06
Allahabad,2017-01-12,00:00:00,9.06,3.71,8.15,4.73,0.53,1.89,437.09,25.0,245.04,3.6,1.2
Varanasi,2017-01-12,00:00:00,7.94,3.34,7.03,5.44,0.42,3.5,59.61,25.0,250.77,4.86,0.91
Patna,2017-01-12,00:00:00,9.15,3.58,7.33,5.07,0.52,2.12,707.59,25.0,238.42,3.39,1.23
Kolkata,2017-01-12,00:00:00,13.08,3.74,8.5,5.05,0.56,6.9,200.43,25.0,270.68,3.18,1.21
Gangotri,2017-01-13,00:00:00,9.0,3.59,7.14,5.21,0.41,1.84,135.34,25.0,272.85,5.01,0.99
Rishikesh,2017-01-13,00:00:00,8.12,2.98,6.86,4.24,0.58,1.85,129.88,25.0,247.63,3.44,1.28
Haridwar,2017-01-13,00:00:00,8.2,3.78,7.7,4.84,0.44,3.79,372.53,25.0,229.38,3.8,0.59
Kanpur,2017-01-13,00:00:00,8.71,3.37,7.72,5.53,0.48,2.24,2.0,25.0,269.24,4.35,1.14
Allahabad,2017-01-13,00:00:00,8.26,3.94,7.63,5.37,0.31,5.06,536.79,25.0,266.95,4.51,0.78
Varanasi,2017-01-13,00:00:00,7.84,3.93,7.6,5.2,0.29,6.37,98.64,25.0,269.43,4.14,0.8
Patna,2017-01-13,00:00:00,9.83,3.01,7.57,4.85,0.53,3.53,118.8,25.0,262.39,4.5,0.6
Kolkata,2017-01-13,00:00:00,9.23,3.56,6.75,5.48,0.52,1.6,374.68,25.0,293.07,3.96,1.18
Gangotri,2017-01-14,00:00:00,8.97,3.62,7.47,4.74,0.31,5.81,2.0,25.0,245.94,4.2,0.87
Rishikesh,2017-01-14,00:00:00,7.79,3.2,7.09,5.4,0.55,5.01,93.63,25.0,244.46,3.09,1.67
Haridwar,2017-01-14,00:00:00,9.43,3.29,7.63,5.3,0.47,1.57,95.5,25.0,258.84,4.05,1.37
Kanpur,2017-01-14,00:00:00,8.77,3.02,8.02,4.62,0.57,4.45,228.34,25.0,236.32,3.77,0.88
Allahabad,2017-01-14,00:00:00,8.35,3.6,7.3,5.32,0.49,1.73,367.57,25.0,266.22,4.09,0.85
Varanasi,2017-01-14,00:00:00,8.52,3.59,7.17,4.48,0.41,2.09,661.96,25.0,289.81,4.09,1.04
Patna,2017-01-14,00:00:00,7.85,3.07,6.95,5.24,0.57,5.26,398.11,25.0,208.35,3.96,1.18
Kolkata,2017-01-14,00:00:00,8.9,2.94,8.42,3.8,0.43,3.95,778.99,25.0,254.53,3.12,0.59
Gangotri,2017-01-15,00:00:00,8.77,3.21,7.65,4.94,0.51,7.07,784.78,25.0,267.18,3.16,1.47
Rishikesh,2017-01-15,00:00:00,7.61,3.16,7.24,3.87,0.55,1.6,301.03,25.0,222.23,3.78,1.11
Haridwar,2017-01-15,00:00:00,8.79,3.99,7.09,5.42,0.46,0.99,53.59,25.0,215.31,4.29,1.13
Kanpur,2017-01-15,00:00:00,7.3,3.41,7.78,4.73,0.52,3.62,358.25,25.0,276.17,4.13,1.27
Allahabad,2017-01-15,00:00:00,7.76,3.76,7.59,5.23,0.37,4.71,155.06,25.0,284.55,5.14,0.97
Varanasi,2017-01-15,00:00:00,8.09,3.37,7.23,4.54,0.53,4.88,541.5,25.0,261.74,3.43,0.98
Patna,2017-01-15,00:00:00,8.43,3.57,6.5,4.7,0.3,2.83,91.25,25.0,214.39,3.86,1.17
Kolkata,2017-01-15,00:00:00,9.75,2.96,7.65,5.28,0.48,4.75,104.03,25.0,240.26,3.51,0.78
Gangotri,2017-01-16,00:00:00,10.5,3.43,7.19,4.46,0.51,2.71,2.0,25.0,292.41,4.7,1.4
Rishikesh,2017-01-16,00:00:00,8.15,3.95,7.88,4.48,0.47,0.0,2.0,25.0,239.83,5.35,1.08
Haridwar,2017-01-16,00:00:00,8.78,3.85,7.71,5.04,0.53,4.32,2.0,25.0,255.88,3.73,1.15
Kanpur,2017-01-16,00:00:00,9.13,3.72,8.37,5.36,0.5,2.43,32.46,25.0,287.86,3.86,1.19
Allahabad,2017-01-16,00:00:00,8.68,3.67,6.89,5.39,0.51,3.19,2.0,25.0,264.18,4.1,1.4
Varanasi,2017-01-16,00:00:00,8.59,2.7,6.68,5.09,0.6,3.23,10.74,25.0,239.02,2.66,1.05
Patna,2017-01-16,00:00:00,7.97,3.4,7.23,4.84,0.24,2.03,135.45,25.0,234.46,3.54,1.05
Kolkata,2017-01-16,00:00:00,9.16,3.68,7.7,4.51,0.46,2.97,227.42,25.0,268.56,3.75,0.84
Gangotri,2017-01-17,00:00:00,10.27,3.35,8.5,4.45,0.35,4.71,2.0,25.0,219.99,4.53,1.54
Rishikesh,2017-01-17,00:00:00,8.49,3.15,6.95,4.86,0.53,1.62,153.44,25.0,259.69,4.72,1.64
Haridwar,2017-01-17,00:00:00,8.38,3.35,7.56,5.47,0.5,4.57,264.95,25.0,231.43,3.07,0.77
Kanpur,2017-01-17,00:00:00,8.45,3.89,7.61,4.52,0.42,5.75,500.39,25.0,224.49,4.0,0.98
Allahabad,2017-01-17,00:00:00,9.31,3.56,7.29,5.48,0.51,3.01,291.46,25.0,240.05,4.16,0.79
Varanasi,2017-01-17,00:00:00,9.08,3.44,7.5,5.8,0.52,2.9,295.29,25.0,296.57,4.32,0.76
Patna,2017-01-17,00:00:00,8.49,3.68,7.02,5.42,0.55,3.82,276.01,25.0,219.72,2.91,0.86
Kolkata,2017-01-17,00:00:00,8.42,4.06,7.65,4.99,0.57,4.8,459.48,25.0,247.14,3.8,0.9
Gangotri,2017-01-18,00:00:00,9.16,3.85,7.17,5.13,0.49,4.27,2.0,25.0,237.81,4.05,1.06
Rishikesh,2017-01-18,00:00:00,8.38,2.9,7.67,4.08,0.44,4.6,277.01,25.0,246.74,3.73,0.96
Haridwar,2017-01-18,00:00:00,7.83,3.32,7.47,5.12,0.4,6.3,85.77,25.0,275.48,3.47,1.16
Kanpur,2017-01-18,00:00:00,8.25,3.23,7.29,4.64,0.54,3.98,2.0,25.0,265.0,3.92,1.42
Allahabad,2017-01-18,00:00:00,7.9,3.04,6.83,4.37,0.52,2.71,418.24,25.0,266.52,4.23,1.13
Varanasi,2017-01-18,00:00:00,8.85,3.98,7.3,4.81,0.6,2.89,2.0,25.0,292.05,4.25,1.07
Patna,2017-01-18,00:00:00,7.22,3.54,7.8,4.74,0.49,2.68,2.0,25.0,219.11,4.26,0.85
Kolkata,2017-01-18,00:00:00,8.3,3.49,7.49,5.38,0.55,0.07,294.38,25.0,299.85,4.69,1.36
Gangotri,2017-01-19,00:00:00,8.32,3.63,7.56,4.96,0.44,2.36,353.79,25.0,227.12,3.67,1.3
Rishikesh,2017-01-19,00:00:00,8.01,3.61,7.64,4.65,0.37,4.61,735.86,25.0,286.65,3.5,0.45
Haridwar,2017-01-19,00:00:00,7.65,3.48,7.45,4.72,0.6,2.56,2.0,25.0,260.75,4.63,0.89
Kanpur,2017-01-19,00:00:00,9.41,3.81,7.51,5.14,0.32,0.95,2.0,25.0,221.19,4.61,0.68
Allahabad,2017-01-19,00:00:00,8.98,3.86,6.91,5.44,0.47,4.13,24.37,25.0,232.69,3.89,0.74
Varanasi,2017-01-19,00:00:00,8.38,3.76,7.15,5.05,0.46,5.23,362.72,25.0,242.01,4.3,1.3
Patna,2017-01-19,00:00:00,8.01,3.47,8.15,4.76,0.37,4.06,2.0,25.0,186.72,4.96,1.13
Kolkata,2017-01-19,00:00:00,8.99,3.47,7.0,3.99,0.49,4.21,244.88,25.0,210.75,3.67,1.11
Gangotri,2017-01-20,00:00:00,8.78,3.39,7.77,4.95,0.61,1.81,2.0,25.0,248.76,3.71,0.9
Rishikesh,2017-01-20,00:00:00,7.61,3.76,7.02,5.31,0.32,1.91,142.98,25.0,285.75,3.48,0.83
Haridwar,2017-01-20,00:00:00,7.97,3.31,7.56,4.3,0.55,3.32,2.0,25.0,241.18,3.7,2.52
Kanpur,2017-01-20,00:00:00,8.42,3.73,7.5,4.52,0.52,3.6,423.79,25.0,252.27,4.72,0.86
Allahabad,2017-01-20,00:00:00,8.44,3.52,15.72,5.39,0.58,2.43,2.0,25.0,227.53,4.03,0.75
Varanasi,2017-01-20,00:00:00,8.58,3.22,7.69,5.31,0.34,5.02,2.0,25.0,250.09,3.27,0.91
Patna,2017-01-20,00:00:00,9.61,3.34,7.38,3.87,0.47,4.38,220.06,25.0,250.83,3.44,0.99
Kolkata,2017-01-20,00:00:00,8.86,2.99,7.98,4.32,0.44,2.37,328.56,25.0,251.68,4.2,1.04
Gangotri,2017-01-21,00:00:00,7.59,4.09,7.46,5.43,0.66,9.13,548.11,25.0,236.73,4.03,1.12
Rishikesh,2017-01-21,00:00:00,8.71,3.34,6.91,5.49,0.69,3.0,2.0,25.0,245.71,3.09,0.78
Haridwar,2017-01-21,00:00:00,9.06,2.77,7.54,4.26,0.55,3.01,416.54,25.0,245.19,3.81,1.26
Kanpur,2017-01-21,00:00:00,8.35,3.23,8.0,4.91,0.63,1.91,433.02,25.0,216.53,4.16,0.91
Allahabad,2017-01-21,00:00:00,8.92,3.83,7.49,5.1,0.44,1.65,497.67,25.0,281.76,4.0,0.61
Varanasi,2017-01-21,00:00:00,8.02,4.02,7.65,5.28,0.45,4.51,204.62,25.0,308.88,4.62,0.86
Patna,2017-01-21,00:00:00,8.39,3.65,8.09,5.44,0.62,2.8,348.11,25.0,217.55,4.68,1.4
Kolkata,2017-01-21,00:00:00,15.51,3.58,8.16,4.95,0.56,3.92,397.18,25.0,240.47,4.04,0.43
Gangotri,2017-01-22,00:00:00,8.14,3.53,7.33,4.45,0.42,3.64,464.02,25.0,231.13,4.42,0.65
Rishikesh,2017-01-22,00:00:00,8.52,3.81,7.39,4.21,0.81,3.25,2.0,25.0,264.77,3.62,0.8
Haridwar,2017-01-22,00:00:00,8.62,3.57,7.8,4.64,0.42,1.32,2.0,25.0,268.02,4.29,1.04
Kanpur,2017-01-22,00:00:00,8.77,4.29,7.39,5.54,0.55,2.52,2.0,25.0,275.22,4.07,0.88
Allahabad,2017-01-22,00:00:00,8.09,3.48,7.3,5.41,0.49,3.42,80.96,25.0,298.43,4.87,1.51
Varanasi,2017-01-22,00:00:00,8.94,3.57,7.31,5.58,0.4,0.04,2.0,25.0,261.12,3.89,1.1
Patna,2017-01-22,00:00:00,8.06,3.0,8.17,4.64,0.51,3.49,236.44,25.0,281.82,4.73,0.99
Kolkata,2017-01-22,00:00:00,9.39,3.16,7.27,5.48,0.45,6.54,2.0,25.0,238.95,2.72,0.87
Gangotri,2017-01-23,00:00:00,7.99,3.12,7.17,5.09,0.45,1.62,2.0,25.0,240.53,4.11,0.64
Rishikesh,2017-01-23,00:00:00,8.39,3.45,6.8,5.07,0.62,1.96,221.84,25.0,244.78,3.99,0.8
Haridwar,2017-01-23,00:00:00,8.6,3.61,7.73,5.65,0.42,4.01,517.26,25.0,294.53,4.71,0.84
Kanpur,2017-01-23,00:00:00,8.72,3.5,7.46,5.6,0.61,1.83,327.25,25.0,255.19,4.26,1.24
Allahabad,2017-01-23,00:00:00,8.91,3.65,6.99,5.39,0.57,2.7,20.92,25.0,198.33,2.93,1.43
Varanasi,2017-01-23,00:00:00,8.27,3.57,8.17,5.22,0.54,2.55,274.99,25.0,236.15,3.46,1.04
Patna,2017-01-23,00:00:00,8.54,3.57,6.82,4.54,0.42,3.98,413.92,25.0,246.43,4.17,1.11
Kolkata,2017-01-23,00:00:00,8.98,2.95,7.69,3.71,0.36,2.33,163.98,25.0,311.98,4.47,1.04
Gangotri,2017-01-24,00:00:00,8.8,3.42,7.4,5.6,0.45,4.05,171.02,25.0,249.11,3.74,1.15
Rishikesh,2017-01-24,00:00:00,8.35,3.51,7.68,5.05,0.61,0.71,64.93,25.0,270.09,4.51,0.78
Haridwar,2017-01-24,00:00:00,8.77,3.78,7.34,5.29,0.57,5.79,344.11,25.0,240.06,3.59,1.1
Kanpur,2017-01-24,00:00:00,9.37,3.27,6.58,4.5,0.45,4.38,608.44,25.0,218.18,4.49,0.93
Allahabad,2017-01-24,00:00:00,7.56,3.58,7.36,5.44,0.58,2.81,402.75,25.0,241.3,4.15,0.86
Varanasi,2017-01-24,00:00:00,7.59,3.51,6.96,4.8,0.52,2.31,92.8,25.0,251.31,3.76,1.21
Patna,2017-01-24,00:00:00,9.51,3.85,7.82,5.57,0.35,5.73,156.35,25.0,262.57,3.75,0.73
Kolkata,2017-01-24,00:00:00,8.65,3.4,6.98,4.92,0.53,4.93,554.49,25.0,252.97,3.2,0.53
Gangotri,2017-01-25,00:00:00,9.26,3.63,8.21,4.87,0.7,1.63,160.36,25.0,251.18,4.78,1.2
Rishikesh,2017-01-25,00:00:00,8.11,3.25,7.3,4.12,0.5,1.03,227.71,38.49,249.73,3.86,1.74
Haridwar,2017-01-25,00:00:00,8.84,3.59,7.2,5.68,0.53,3.13,2.0,25.0,242.45,3.83,0.38
Kanpur,2017-01-25,00:00:00,8.0,3.69,7.74,5.47,0.48,1.87,865.41,25.0,253.26,3.65,1.14
Allahabad,2017-01-25,00:00:00,7.63,3.99,7.56,5.49,0.4,5.85,2.0,25.0,245.16,4.07,0.85
Varanasi,2017-01-25,00:00:00,9.94,3.21,7.59,4.91,0.56,4.01,50.09,25.0,244.89,3.9,0.97
Patna,2017-01-25,00:00:00,9.16,3.8,7.3,5.43,0.65,3.2,2.0,25.0,266.65,4.35,1.19
Kolkata,2017-01-25,00:00:00,8.84,3.77,7.21,5.17,0.49,4.47,187.46,25.0,252.4,4.49,0.86
Gangotri,2017-01-26,00:00:00,9.06,3.24,7.78,5.03,0.35,0.0,78.99,25.0,229.98,2.82,1.27
Rishikesh,2017-01-26,00:00:00,9.09,3.36,7.84,5.5,0.39,3.83,362.96,25.0,243.49,4.23,0.97
Haridwar,2017-01-26,00:00:00,9.1,3.52,7.29,5.87,0.62,1.22,2.0,25.0,190.42,3.7,0.81
Kanpur,2017-01-26,00:00:00,8.88,3.39,7.87,4.94,0.54,1.59,368.14,25.0,227.89,4.07,1.13
Allahabad,2017-01-26,00:00:00,8.59,3.39,7.21,4.54,0.48,4.0,268.84,25.0,293.68,4.5,0.79
Varanasi,2017-01-26,00:00:00,8.52,2.96,6.72,4.38,0.62,2.98,298.17,25.0,259.62,4.88,1.07
Patna,2017-01-26,00:00:00,9.04,3.6,7.07,5.79,0.52,3.42,115.7,25.0,233.09,2.75,1.17
Kolkata,2017-01-26,00:00:00,8.79,4.18,6.91,5.29,0.47,0.18,472.18,25.0,268.03,4.03,1.36
Gangotri,2017-01-27,00:00:00,9.34,4.05,7.44,5.4,0.54,0.0,166.54,25.0,216.8,3.66,0.7
Rishikesh,2017-01-27,00:00:00,8.55,3.82,7.9,4.79,0.43,4.71,2.0,25.0,255.35,3.7,0.61
Haridwar,2017-01-27,00:00:00,8.45,3.82,7.19,5.62,0.39,1.88,707.59,25.0,261.85,4.74,1.45
Kanpur,2017-01-27,00:00:00,8.36,3.67,7.47,5.34,0.43,4.74,207.89,25.0,270.89,3.68,1.56
Allahabad,2017-01-27,00:00:00,7.92,2.99,7.82,5.05,0.43,5.3,238.33,25.0,261.57,4.14,1.04
Varanasi,2017-01-27,00:00:00,8.13,4.1,7.39,5.56,0.5,4.09,737.69,25.0,207.69,4.1,0.67
Patna,2017-01-27,00:00:00,8.3,3.81,7.01,4.73,0.46,2.42,18.58,25.0,242.23,4.86,0.67
Kolkata,2017-01-27,00:00:00,7.28,3.77,7.66,5.61,0.51,3.81,2.0,25.0,260.6,4.14,1.15
Gangotri,2017-01-28,00:00:00,8.76,3.66,8.1,5.49,0.43,6.19,398.19,25.0,239.98,4.54,1.03
Rishikesh,2017-01-28,00:00:00,8.3,3.83,7.9,5.14,0.45,5.38,2.0,25.0,218.72,3.4,1.05
Haridwar,2017-01-28,00:00:00,8.13,2.85,19.4,4.49,0.6,2.07,461.0,25.0,288.52,4.18,1.19
Kanpur,2017-01-28,00:00:00,8.64,3.7,8.03,5.55,0.43,1.37,671.22,25.0,243.14,4.51,0.98
